timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1737043841745,4987,Login,200,,Http URL/API Test 1-2,text,true,,1594,419,100,100,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,4987,0,2777
1737043846733,11,randomPageSize,200,OK,Http URL/API Test 1-2,text,true,,0,0,100,100,null,0,0,0
1737043841789,5215,Login,200,,Http URL/API Test 1-6,text,true,,1594,419,100,100,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,5215,0,2731
1737043847005,0,randomPageSize,200,OK,Http URL/API Test 1-6,text,true,,0,0,100,100,null,0,0,0
1737043841738,6278,Login,200,,Http URL/API Test 1-1,text,true,,1594,419,100,100,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,6278,0,2785
1737043848017,0,randomPageSize,200,OK,Http URL/API Test 1-1,text,true,,0,0,100,100,null,0,0,0
1737043841757,6262,Login,200,,Http URL/API Test 1-3,text,true,,1594,419,100,100,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,6262,0,2764
1737043848020,0,randomPageSize,200,OK,Http URL/API Test 1-3,text,true,,0,0,100,100,null,0,0,0
1737043846759,1382,Get List of Devices,200,,Http URL/API Test 1-2,text,true,,457,1276,100,100,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/devices?pageNumber=5&pageSize=16&sortKey=createdTime&sortDirection=DESC,1382,0,0
1737043847006,1218,Get list of Tasks,200,,Http URL/API Test 1-6,text,true,,3212,1147,100,100,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/tasks?pageNumber=3&pageSize=8,1218,0,0
1737043841820,6458,Login,200,,Http URL/API Test 1-9,text,true,,1594,419,100,100,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,6458,0,2724
1737043848278,0,randomPageSize,200,OK,Http URL/API Test 1-9,text,true,,0,0,100,100,null,0,0,0
1737043848020,383,Get list of Tasks,200,,Http URL/API Test 1-3,text,true,,5764,1148,100,100,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/tasks?pageNumber=1&pageSize=16,383,0,0
1737043848279,229,Get List of Devices,200,,Http URL/API Test 1-9,text,true,,457,1276,100,100,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/devices?pageNumber=5&pageSize=16&sortKey=createdTime&sortDirection=DESC,229,0,0
1737043841798,6797,Login,200,,Http URL/API Test 1-7,text,true,,1594,419,100,100,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,6797,0,2731
1737043848595,0,randomPageSize,200,OK,Http URL/API Test 1-7,text,true,,0,0,100,100,null,0,0,0
1737043842090,6774,Login,200,,Http URL/API Test 1-36,text,true,,1594,419,100,100,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,6774,0,2459
1737043848864,0,randomPageSize,200,OK,Http URL/API Test 1-36,text,true,,0,0,100,100,null,0,0,0
1737043842670,6299,Login,200,,Http URL/API Test 1-94,text,true,,1594,419,100,100,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,6299,0,1962
1737043848969,1,randomPageSize,200,OK,Http URL/API Test 1-94,text,true,,0,0,100,100,null,0,0,0
1737043842026,6956,Login,200,,Http URL/API Test 1-30,text,true,,1594,419,100,100,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,6956,0,2531
1737043848982,0,randomPageSize,200,OK,Http URL/API Test 1-30,text,true,,0,0,100,100,null,0,0,0
1737043842605,6393,Login,200,,Http URL/API Test 1-88,text,true,,1594,419,100,100,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,6393,0,2046
1737043848999,0,randomPageSize,200,OK,Http URL/API Test 1-88,text,true,,0,0,100,100,null,0,0,0
1737043848142,876,Get list of Tasks,200,,Http URL/API Test 1-2,text,true,,5696,1148,100,100,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/tasks?pageNumber=3&pageSize=16,876,0,0
1737043842479,6608,Login,200,,Http URL/API Test 1-75,text,true,,1594,419,100,100,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,6608,0,2172
1737043849088,0,randomPageSize,200,OK,Http URL/API Test 1-75,text,true,,0,0,100,100,null,0,0,0
1737043842218,6876,Login,200,,Http URL/API Test 1-49,text,true,,1594,419,100,100,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,6876,0,2353
1737043849094,0,randomPageSize,200,OK,Http URL/API Test 1-49,text,true,,0,0,100,100,null,0,0,0
1737043842489,6626,Login,200,,Http URL/API Test 1-76,text,true,,1594,419,100,100,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,6625,0,2132
