timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1737042755480,36781,Get the List of Alerts For Map,200,,Http URL/API Test 1-28,text,true,,457,1364,11,11,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/alerts?lang=en&pageNumber=3&pageSize=16&sortKey=createdTime&sortDirection=DESC,36781,0,0
1737042792263,490,Get the List of Default config for the Departments,200,,Http URL/API Test 1-28,text,true,,954,1106,11,11,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/department/config/list?sortKey=enName,490,0,163
1737042764395,29178,Get the List of Alerts For Map,200,,Http URL/API Test 1-5,text,true,,457,1325,11,11,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/alerts?lang=en&pageNumber=5&pageSize=8&sortKey=createdTime&sortDirection=DESC,29178,0,196
1737042792754,819,Get list of Tasks,200,,Http URL/API Test 1-28,text,true,,6254,1148,11,11,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/tasks?pageNumber=4&pageSize=16,819,0,0
1737042793574,313,Get the List of Default config for the Departments,200,,Http URL/API Test 1-5,text,true,,5403,1067,11,11,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/department/config/list?sortKey=enName,313,0,0
1737042793573,1016,Search Users,200,,Http URL/API Test 1-28,text,true,,24009,1090,11,11,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/iot2/users?pageNumber=1&pageSize=16&sortKey=createdTime&keyType=SERVER_ATTRIBUTE&sortDirection=DESC,922,0,0
1737042780974,14749,Get List of Devices,200,,Http URL/API Test 1-40,text,true,,9398,1238,11,11,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/devices?pageNumber=1&pageSize=16&sortKey=createdTime&sortDirection=DESC,14749,0,0
1737042794589,1208,Get List of Alert Profiles,200,,Http URL/API Test 1-28,text,true,,458,1193,11,11,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/alertprofiles?pageNumber=4&pageSize=16&sortKey=createdTime&sortDirection=ASC,1208,0,0
1737042775256,20668,Search Zones for List For Map,200,,Http URL/API Test 1-50,text,true,,2927,1099,10,10,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/zones/map/list?pageSize=8&pageNumber=4&&sortKey=occupied&sortDirection=DESC,20668,0,0
1737042795724,939,Get List of Alert Profiles,200,,Http URL/API Test 1-40,text,true,,12831,1155,10,10,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/alertprofiles?pageNumber=1&pageSize=16&sortKey=createdTime&sortDirection=ASC,938,0,0
